,prolific_id_NONE,question_NONE,score_NONE,average_over_questions_NONE,prolific_id_robot,question_robot,score_robot,average_over_questions_robot,prolific_id_human,question_human,score_human,average_over_questions_human
0,5d39ddd133672b0015557242,question1,1.0,2.625,59edc2c816ecc200016ff9cc,question1,4.0,4.25,5c5c4f764ee81200018eaabe,question1,5.0,4.125
1,5bfff3be0ef039000138b699,question1,3.0,2.75,5d77a8b3bedf45000187c499,question1,3.0,3.75,5baa1f618e137f00016264c9,question1,2.0,2.625
2,5850ad3a1c68630001f52533,question1,1.0,3.0,5c6b031a18f539000128f7f9,question1,2.0,3.875,5b44a7f13f470b0001fad504,question1,1.0,4.125
3,5c93de86cf602b000170c25d,question1,5.0,3.75,5a18625a0fff620001a6d60e,question1,2.0,3.75,5a95694a4eecca0001dd4721,question1,2.0,2.75
4,5a6a206f3fb6420001c2d9ef,question1,3.0,3.125,5980f96d413c230001291b41,question1,2.0,2.625,5af892053aba4900015f0592,question1,3.0,3.5
5,5d7946c85d4c06001a5fca59,question1,5.0,3.375,5a6ff03b9cdd18000177543a,question1,1.0,3.125,5c82f678a4c44a001484dc00,question1,1.0,3.0
6,5ca219fec977ef0001547071,question1,0.0,2.25,5cd56625e7f4580015c77130,question1,0.0,2.875,5c5c4f764ee81200018eaabe,question2,4.0,
7,5b3d0c7477cb3a00019c1bb3,question1,1.0,3.125,59edc2c816ecc200016ff9cc,question2,4.0,,5baa1f618e137f00016264c9,question2,1.0,
8,5d39ddd133672b0015557242,question2,1.0,,5d77a8b3bedf45000187c499,question2,3.0,,5b44a7f13f470b0001fad504,question2,4.0,
9,5bfff3be0ef039000138b699,question2,1.0,,5c6b031a18f539000128f7f9,question2,5.0,,5a95694a4eecca0001dd4721,question2,1.0,
10,5850ad3a1c68630001f52533,question2,3.0,,5a18625a0fff620001a6d60e,question2,5.0,,5af892053aba4900015f0592,question2,3.0,
11,5c93de86cf602b000170c25d,question2,4.0,,5980f96d413c230001291b41,question2,2.0,,5c82f678a4c44a001484dc00,question2,3.0,
12,5a6a206f3fb6420001c2d9ef,question2,2.0,,5a6ff03b9cdd18000177543a,question2,4.0,,5c5c4f764ee81200018eaabe,question3,5.0,
13,5d7946c85d4c06001a5fca59,question2,3.0,,5cd56625e7f4580015c77130,question2,1.0,,5baa1f618e137f00016264c9,question3,1.0,
14,5ca219fec977ef0001547071,question2,4.0,,59edc2c816ecc200016ff9cc,question3,5.0,,5b44a7f13f470b0001fad504,question3,3.0,
15,5b3d0c7477cb3a00019c1bb3,question2,2.0,,5d77a8b3bedf45000187c499,question3,4.0,,5a95694a4eecca0001dd4721,question3,2.0,
16,5d39ddd133672b0015557242,question3,2.0,,5c6b031a18f539000128f7f9,question3,3.0,,5af892053aba4900015f0592,question3,4.0,
17,5bfff3be0ef039000138b699,question3,2.0,,5a18625a0fff620001a6d60e,question3,3.0,,5c82f678a4c44a001484dc00,question3,2.0,
18,5850ad3a1c68630001f52533,question3,4.0,,5980f96d413c230001291b41,question3,2.0,,5c5c4f764ee81200018eaabe,question4,3.0,
19,5c93de86cf602b000170c25d,question3,3.0,,5a6ff03b9cdd18000177543a,question3,2.0,,5baa1f618e137f00016264c9,question4,4.0,
20,5a6a206f3fb6420001c2d9ef,question3,3.0,,5cd56625e7f4580015c77130,question3,5.0,,5b44a7f13f470b0001fad504,question4,4.0,
21,5d7946c85d4c06001a5fca59,question3,2.0,,59edc2c816ecc200016ff9cc,question4,1.0,,5a95694a4eecca0001dd4721,question4,3.0,
22,5ca219fec977ef0001547071,question3,1.0,,5d77a8b3bedf45000187c499,question4,3.0,,5af892053aba4900015f0592,question4,3.0,
23,5b3d0c7477cb3a00019c1bb3,question3,2.0,,5c6b031a18f539000128f7f9,question4,3.0,,5c82f678a4c44a001484dc00,question4,2.0,
24,5d39ddd133672b0015557242,question4,2.0,,5a18625a0fff620001a6d60e,question4,2.0,,5c5c4f764ee81200018eaabe,question5,4.0,
25,5bfff3be0ef039000138b699,question4,2.0,,5980f96d413c230001291b41,question4,2.0,,5baa1f618e137f00016264c9,question5,6.0,
